4335,4167
4216,3920
679,673
4466,4714
2465,2512
2826,2569
2605,2329
4260,4249
1442,1353
2584,2647
4291,4392
3348,3631
553,691
1367,1608
2210,2363
4096,4369
3796,3848
3508,3272
630,480
2847,3008
624,573
3514,3230
2931,2933
1155,1200
1401,1186
2622,2899
1757,1616
3494,3472
3722,3971
3981,4244
4465,4441
840,683
2626,2423
1925,1839
2200,2129
666,875
1516,1462
2451,2408
3605,3356
2994,2877
3239,2949
1500,1763
3768,3730
3015,2977
2279,2036
982,712
1475,1387
3640,3519
3455,3560
3759,3569
1141,1003
1983,1865
3733,3635
1876,2014
4036,3775
4359,4623
3951,3768
1341,1603
2471,2477
769,1039
2240,2313
3622,3793
586,816
4187,4187
849,879
746,696
4215,4246
4106,3931
822,896
1516,1661
1991,1719
1865,1928
647,910
2845,2914
4456,4417
3209,3281
3498,3330
571,635
1393,1147
1320,1164
1087,1340
2349,2078
3923,3897
3248,3325
4426,4583
1333,1177
1115,1257
2221,2386
930,751
1363,1474
963,1041
1712,1625
1317,1109
4199,4344
2498,2535
2491,2328
2648,2383
1128,1158
3687,3698
3017,3215
3635,3345
2852,2625
4420,4590
605,802
983,716
1057,984
3534,3304
3724,3877
3031,2843
2438,2194
1212,1089
2564,2478
3395,3165
3186,3309
3481,3208
3723,4019
2533,2615
3058,3310
3715,3782
3376,3451
1352,1378
1133,1108
3130,3427
3740,3449
1944,1955
2228,2220
4218,4001
1933,1936
4466,4511
1690,1657
3920,3944
2529,2572
1952,2117
2878,3007
2995,2895
1110,1010
2447,2558
4150,4446
2686,2436
4111,3987
2434,2266
2531,2738
3190,2972
1978,1959
868,834
3474,3199
2800,2709
2415,2710
3426,3369
4242,4304
1781,1870
1965,1710
1724,1516
4418,4168
1136,1128
3679,3507
2262,2314
2933,2737
1353,1185
3841,3819
766,919
2719,2455
2088,2134
3980,4159
1352,1541
1715,1465
4415,4122
3374,3292
2593,2713
2458,2468
2876,2704
4238,4326
2084,2032
1816,1721
1007,786
532,772
3492,3724
3706,3966
3372,3268
2067,2101
1351,1484
2717,2829
1307,1433
4068,3894
1011,1040
3556,3370
2690,2431
826,1090
4160,4250
2114,2091
2001,2186
4369,4336
2239,2456
2661,2627
1758,1599
1222,1071
2835,2735
2311,2111
4131,4409
2421,2383
3790,3711
2383,2426
4125,3835
1845,1770
2275,2148
2645,2495
1159,1431
3738,3560
1469,1212
2659,2546
4222,3937
3970,3694
3772,3906
2576,2630
986,722
3135,3402
602,636
3700,3420
1321,1139
1006,905
857,734
1020,1232
2658,2443
3186,3077
3023,2837
3624,3668
2419,2597
1933,1951
1664,1485
2559,2329
1494,1767
2239,2435
3689,3739
1140,1088
2291,2379
3106,3029
1301,1462
2130,2262
1365,1567
839,973
2928,2870
1393,1254
1937,1873
3766,3756
712,470
796,509
1866,1620
4425,4265
1276,1252
4065,4154
3659,3613
1631,1397
1496,1515
2216,2325
1117,939
1154,1047
916,843
1868,1627
2012,1767
1923,2001
3203,2979
4422,4459
3912,4167
2713,2583
2686,2621
2506,2582
2846,3124
2186,2028
2552,2671
2510,2493
1968,1919
990,899
641,595
4243,4082
3692,3677
4258,4522
3087,3241
2855,2906
2003,2222
2437,2707
1163,1033
4174,4157
1711,1522
1758,1620
734,847
2460,2526
2372,2301
3016,2856
2596,2511
3305,3455
4453,4457
4443,4501
3759,3848
4053,4012
3998,4003
